pool_id,source_file,row_id,trial_key,citation_id,original_pmid,erratum_pmids,populated_cells
PARP_ARPI_MCRPC_REVIEW,PARP_ARPI_MCRPC_REVIEW.html,PARP_ARPI_MCRPC_REVIEW:NCT03395197,NCT03395197,PMID37285865,37285865,37481270,ci_hi;ci_lo;effect;n_c;n_t;outcome;reported_n;se;trial_true_n
PHENTERMINE_TOPIRAMATE_OBESITY_AUTO_REVIEW,PHENTERMINE_TOPIRAMATE_OBESITY_AUTO_REVIEW.html,PHENTERMINE_TOPIRAMATE_OBESITY_AUTO_REVIEW:NCT03374956,NCT03374956,PMID33759389,33759389,34156162;35611684,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
PITAVASTATIN_AUTO_REVIEW,PITAVASTATIN_AUTO_REVIEW.html,PITAVASTATIN_AUTO_REVIEW:NCT00309777,NCT00309777,PMID19785568,19785568,,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
PNEUMONIA_AMOXICILLIN_DURATION_REVIEW,PNEUMONIA_AMOXICILLIN_DURATION_REVIEW.html,PNEUMONIA_AMOXICILLIN_DURATION_REVIEW:LEGACY-ISRCTN-76888927-CAP-IT,LEGACY-ISRCTN-76888927-CAP-IT,PMID34726708,34726708,34874442,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se
PROSTATE_AR_NEXT_GEN_REVIEW,PROSTATE_AR_NEXT_GEN_REVIEW.html,PROSTATE_AR_NEXT_GEN_REVIEW:NCT02200614,NCT02200614,PMID30763142,30763142,36053527,ci_hi;ci_lo;e_c;e_t;effect;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
RALTEGRAVIR_HIV_AUTO_REVIEW,RALTEGRAVIR_HIV_AUTO_REVIEW.html,RALTEGRAVIR_HIV_AUTO_REVIEW:NCT01618305,NCT01618305,PMID32386720,32386720,32531263,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
REMDESIVIR_COVID_AUTO_REVIEW,REMDESIVIR_COVID_AUTO_REVIEW.html,REMDESIVIR_COVID_AUTO_REVIEW:NCT05780437,NCT05780437,PMID35817072,35817072,36356600,e_c;e_t;n_c;n_t;outcome;reported_events;reported_n;se;trial_true_n
RENAL_DENERV_REVIEW,RENAL_DENERV_REVIEW.html,RENAL_DENERV_REVIEW:NCT02439749_ON,NCT02439749_ON,PMID29803590,29803590,30215379,n_c;n_t;outcome;reported_n;trial_true_n
RENAL_DENERV_REVIEW,RENAL_DENERV_REVIEW.html,RENAL_DENERV_REVIEW:NULLED:NCT03614260,NULLED:NCT03614260,PMID36853250,36853250,37314287,n_c;n_t;outcome;reported_n;trial_true_n
ROCKLATAN_GLAUCOMA_AUTO_REVIEW,ROCKLATAN_GLAUCOMA_AUTO_REVIEW.html,ROCKLATAN_GLAUCOMA_AUTO_REVIEW:NCT02057575,NCT02057575,PMID26209587,26209587,28319936,n_c;n_t;outcome;reported_n;trial_true_n
