file,key,name,demographics,eligibility,safety_ae,score_3
HEPATITIS_B_TAF_TDF_REVIEW.html,NCT01940471,"GS-US-320-0110 (TAF vs TDF, HBeAg-positi",N,N,N,0
HEPATITIS_HCV_DAA_NMA_REVIEW.html,NCT02201940,ASTRAL-1,N,N,N,0
HEPATITIS_HCV_DAA_NMA_REVIEW.html,NCT02201953,ASTRAL-3,N,N,N,0
HEPATITIS_HCV_DAA_NMA_REVIEW.html,NCT02642432,EXPEDITION-1,N,N,N,0
HER2_LOW_ADC_NMA_REVIEW.html,NCT03734029,DESTINY-Breast04,N,N,N,0
HER2_LOW_ADC_NMA_REVIEW.html,NCT04494425,DESTINY-Breast06,N,N,N,0
HER2_LOW_ADC_NMA_REVIEW.html,NCT03901339,TROPiCS-02,N,N,N,0
HER2_LOW_ADC_NMA_REVIEW.html,NCT05374512,TROPION-Breast01,N,N,N,0
HF_QUADRUPLE_NMA_REVIEW.html,NCT03036124,DAPA-HF,N,N,N,0
HF_QUADRUPLE_NMA_REVIEW.html,NCT03057977,EMPEROR-Reduced,N,N,N,0
HF_QUADRUPLE_NMA_REVIEW.html,NCT03619213,DELIVER,N,N,N,0
HF_QUADRUPLE_NMA_REVIEW.html,NCT03057951,EMPEROR-Preserved,N,N,N,0
HF_QUADRUPLE_NMA_REVIEW.html,NCT01035255,PARADIGM-HF,N,N,N,0
HF_QUADRUPLE_NMA_REVIEW.html,NCT04435626,FINEARTS-HF,N,N,N,0
HIDRADENITIS_SUPPURATIVA_NMA_REVIEW.html,NCT01468207,PIONEER I (Kimball 2016),N,N,N,0
