file,name,n,age,pct_female,followup
IL23_PSORIASIS_REVIEW.html,UltIMMa-1,406,,,3.7
IL23_PSORIASIS_REVIEW.html,reSURFACE 1,462,,,2.8
IL_PSORIASIS_NMA_REVIEW.html,VOYAGE 1,503,,,
IL_PSORIASIS_NMA_REVIEW.html,UltIMMa-1,406,,,
IL_PSORIASIS_NMA_REVIEW.html,UNCOVER-1,864,,,
IL_PSORIASIS_NMA_REVIEW.html,UNCOVER-2,709,,,
IL_PSORIASIS_NMA_REVIEW.html,UNCOVER-3,578,,,
IL_PSORIASIS_NMA_REVIEW.html,ERASURE,493,,,
IL_PSORIASIS_NMA_REVIEW.html,FIXTURE,646,,,
IL_PSORIASIS_NMA_REVIEW.html,BE RADIANT,743,,,
IL_PSORIASIS_NMA_REVIEW.html,BE VIVID,404,,,
IL_PSORIASIS_NMA_REVIEW.html,BE SURE,478,,,
IL_PSORIASIS_NMA_REVIEW.html,VOYAGE 2,483,,,3.7
IL_PSORIASIS_NMA_REVIEW.html,UltIMMa-2,392,,,3.7
IL_PSORIASIS_NMA_REVIEW.html,AMAGINE-1,442,,,2.8
IL_PSORIASIS_NMA_REVIEW.html,reSURFACE-1,462,,,2.8
IL_PSORIASIS_NMA_REVIEW.html,reSURFACE-2,627,,,2.8
IL_PSORIASIS_NMA_REVIEW.html,AMAGINE-2,1071,,,2.8
IL_PSORIASIS_NMA_REVIEW.html,CLEAR,668,,,3.7
IL_PSORIASIS_NMA_REVIEW.html,BE READY,435,,,
INAVOLISIB_BC_REVIEW.html,INAVO120,325,,,
INCLISIRAN_REVIEW.html,ORION-9,482,,,
INCLISIRAN_REVIEW.html,ORION-10,1561,,,
INCLISIRAN_REVIEW.html,ORION-11,1617,,,
INCRETINS_T2D_NMA_REVIEW.html,SURPASS-1,234,,,
INCRETINS_T2D_NMA_REVIEW.html,SURPASS-2,939,,,
INCRETINS_T2D_NMA_REVIEW.html,SUSTAIN-1,258,,,
INCRETINS_T2D_NMA_REVIEW.html,SUSTAIN-3,809,,,
INCRETINS_T2D_NMA_REVIEW.html,SUSTAIN-7,600,,,
INCRETINS_T2D_NMA_REVIEW.html,LEAD-6,464,,,
INCRETINS_T2D_NMA_REVIEW.html,AWARD-6,599,,,
INCRETINS_T2D_NMA_REVIEW.html,LEAD-2,364,,,6.0
INCRETINS_T2D_NMA_REVIEW.html,SUSTAIN-6,3297,,,
INCRETINS_T2D_NMA_REVIEW.html,EXSCEL,14752,,,
INCRETINS_T2D_NMA_REVIEW.html,PIONEER-4,569,,,6.0
INCRETINS_T2D_NMA_REVIEW.html,PIONEER-3,931,,,6.0
INCRETINS_T2D_NMA_REVIEW.html,SUSTAIN-2,815,,,12.9
INCRETINS_T2D_NMA_REVIEW.html,SURPASS-3,882,,,
INCRETINS_T2D_NMA_REVIEW.html,SURPASS-4,1471,,,
INCRETINS_T2D_NMA_REVIEW.html,SURPASS-5,237,,,
INCRETINS_T2D_NMA_REVIEW.html,SURPASS-6,488,,,
INSULIN_ICODEC_REVIEW.html,ONWARDS-1,984,,,12.0
INSULIN_ICODEC_REVIEW.html,ONWARDS-2,526,,,6.0
INSULIN_ICODEC_REVIEW.html,ONWARDS-3,588,,,6.0
INTENSIVE_BP_REVIEW.html,SPRINT-SENIOR,2636,,,
INTENSIVE_BP_REVIEW.html,SPRINT-CKD,2646,,,
INTENSIVE_BP_REVIEW.html,ACCORD-BP,4733,,,
INTENSIVE_BP_REVIEW.html,STEP,8511,,,
INTENSIVE_BP_REVIEW.html,SPS3-BP,3020,,,
IO_CHEMO_NSCLC_1L_REVIEW.html,KEYNOTE-189,616,,,
IO_CHEMO_NSCLC_1L_REVIEW.html,KEYNOTE-407,559,,,
IO_CHEMO_NSCLC_1L_REVIEW.html,IMpower150,692,,,
IO_CHEMO_NSCLC_1L_REVIEW.html,POSEIDON,675,,,
IPTACOPAN_IGAN_REVIEW.html,APPLAUSE-IgAN,443,,,
JAK_RA_REVIEW.html,RA-BEAM,975,,,2.8
JAK_RA_REVIEW.html,SELECT-NEXT,442,,,2.8
JAK_RA_REVIEW.html,FINCH-1,950,,,2.8
