file,nct,name,our_hr,aact_param_type,aact_value,aact_lci,aact_uci,aact_method,verdict,notes
CAB_PREP_HIV_REVIEW.html,NCT02720094,HPTN 083,0.34,A bias-adjusted hazard ratio,0.34,0.18,0.62,"Regression, Cox",OK,
CAB_PREP_HIV_REVIEW.html,NCT03164564,HPTN 084,0.12,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT02951052,ATLAS,1.67,Adjusted difference in proportion,0.6,-1.2,2.5,,DEFECT,"SIGN_DIFFER(our=1.67,aact=0.6);MAGNITUDE_DIFFER(our=1.67,aact=0.60)"
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT02938520,FLAIR,0.86,Adjusted difference in proportion,-0.4,-2.8,2.1,,OK,
CABOTEGRAVIR_HIV_ART_REVIEW.html,NCT03299049,ATLAS-2M,1.8,Adjusted difference,0.8,-0.6,2.2,,OK,
CANGRELOR_PCI_REVIEW.html,NCT00305162,CHAMPION-PCI,1.05,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
CANGRELOR_PCI_REVIEW.html,NCT00385138,CHAMPION-PLATFORM,0.87,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
CANGRELOR_PCI_REVIEW.html,NCT01156571,CHAMPION-PHOENIX,0.78,,,,,,AACT_NO_PRIMARY_RESULT,No primary-outcome analysis with numeric param_value+CI in AACT
CAPIVASERTIB_BC_REVIEW.html,NCT04305496,CAPItello-291,0.6,Hazard Ratio (HR),0.6,0.51,0.71,Stratified log rank test,OK,
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02540993,FIDELIO-DKD,0.82,Hazard Ratio (HR),0.825,0.732,0.928,Log Rank,OK,
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02545049,FIGARO-DKD,0.87,Hazard Ratio (HR),0.87,0.76,0.98,Log Rank,OK,
CARDIORENAL_DKD_NMA_REVIEW.html,NCT02065791,CREDENCE,0.7,Hazard Ratio (HR),0.7,0.59,0.82,Cox Proportional Hazard,OK,
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03036150,DAPA-CKD,0.61,Hazard Ratio (HR),0.61,0.51,0.72,"Regression, Cox",OK,
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03594110,EMPA-KIDNEY,0.72,Hazard Ratio (HR),0.72,0.59,0.89,"Regression, Cox",OK,
CARDIORENAL_DKD_NMA_REVIEW.html,NCT03819153,FLOW,0.76,Hazard Ratio (HR),0.76,0.66,0.88,"Regression, Cox",OK,
CART_DLBCL_REVIEW.html,NCT03391466,ZUMA-7,0.4,Hazard Ratio (HR),0.398,0.308,0.514,Log Rank,OK,
